<><><><><><><><> 
Begin: 22-May-2014 17:49:32 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s00 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.004 0.339 0.339 
0.532 0.011 0.011 
0.567 0.011 0.011 
0.250 0.011 0.011 
0.567 0.011 0.011 
0.451 0.011 0.011 
0.234 0.011 0.011 
0.317 0.011 0.011 
0.416 0.011 0.011 
0.584 0.011 0.011 
0.584 0.011 0.011 
0.266 0.011 0.011 
0.584 0.011 0.011 
0.584 0.011 0.011 
0.402 0.011 0.011 
0.517 0.011 0.011 
0.267 0.011 0.011 
0.368 0.011 0.011 
0.567 0.011 0.011 
0.517 0.011 0.011 
0.584 0.011 0.011 
0.468 0.011 0.011 
0.216 0.011 0.011 
0.534 0.011 0.011 
0.567 0.011 0.011 
0.467 0.011 0.011 
0.501 0.011 0.011 
0.502 0.011 0.011 
0.366 0.011 0.011 
0.467 0.711 0.711 
0.267 0.011 0.011 
0.484 0.011 0.011 
0.585 0.011 0.011 
0.317 0.011 0.011 
0.216 0.011 0.011 
0.234 0.011 0.011 
0.534 0.011 0.011 
0.484 0.011 0.011 
0.334 0.011 0.011 
0.584 0.011 0.011 
0.217 0.011 0.011 
0.384 0.011 0.011 
0.350 0.011 0.011 
0.500 0.011 0.011 
0.518 0.011 0.011 
0.284 0.011 0.011 
0.401 0.011 0.011 
0.383 0.011 0.011 
0.467 0.011 0.011 
0.484 0.011 0.011 
0.501 0.011 0.011 
0.318 0.011 0.011 
0.468 0.011 0.011 
0.468 0.011 0.011 
0.266 0.011 0.011 
0.250 0.011 0.011 
0.400 0.011 0.011 
0.584 0.011 0.011 
0.334 0.011 0.011 
0.433 0.011 0.011 
0.284 0.011 0.011 
0.501 0.011 0.011 
0.300 0.011 0.011 
0.400 0.011 0.011 
0.484 0.011 0.011 
0.566 0.011 0.011 
0.584 0.011 0.011 
0.417 0.011 0.011 
0.251 0.011 0.011 
0.267 0.011 0.011 
0.300 0.011 0.011 
0.534 0.011 0.011 
0.300 0.011 0.011 
0.534 0.011 0.011 
0.300 0.011 0.011 
0.567 0.011 0.011 
0.349 0.011 0.011 
0.284 0.011 0.011 
0.301 0.011 0.011 
0.450 0.011 0.011 
0.384 0.011 0.011 
0.350 0.011 0.011 
0.534 0.011 0.011 
0.435 0.011 0.011 
0.417 0.011 0.011 
0.567 0.011 0.011 
0.317 0.011 0.011 
0.500 0.011 0.011 
0.501 1.606 1.606 
0.350 0.011 0.011 
0.434 0.011 0.011 
0.234 0.011 0.011 
0.217 0.011 0.011 
0.417 0.011 0.011 
0.516 0.011 0.011 
0.568 0.011 0.011 
0.250 0.011 0.011 
0.434 0.011 0.011 
0.384 0.011 0.011 
0.200 0.011 0.011 
0.333 0.011 0.011 
0.267 0.011 0.011 
0.517 0.350 0.350 
0.334 0.011 0.011 
0.417 0.109 0.109 
0.267 0.404 0.404 
0.450 0.011 0.011 
0.300 1.409 1.409 
0.467 0.011 0.011 
0.484 0.109 0.109 
0.501 0.492 0.492 
0.384 2.808 2.808 
0.234 0.011 0.011 
0.300 0.011 0.011 
0.567 1.279 1.279 
0.266 0.011 0.011 
0.534 0.011 0.011 
0.417 2.961 2.961 
0.601 0.044 0.044 
0.234 0.011 0.011 
0.384 0.011 0.011 
0.250 0.011 0.011 
0.584 0.011 0.011 
0.199 0.011 0.011 
0.517 0.011 0.011 
0.534 0.011 0.011 
0.551 0.011 0.011 
0.233 0.011 0.011 
0.367 0.011 0.011 
0.300 0.011 0.011 
0.517 0.011 0.011 
0.384 0.011 0.011 
0.567 0.011 0.011 
0.267 0.011 0.011 
0.301 0.011 0.011 
0.267 0.011 0.011 
0.250 0.011 0.011 
0.551 0.011 0.011 
0.434 0.011 0.011 
0.417 0.011 0.011 
0.266 0.011 0.011 
0.551 3.989 5.983 
0.451 3.388 3.388 
0.350 0.307 0.307 
0.401 0.011 0.011 
0.367 0.011 0.011 
0.234 0.011 0.011 
0.300 0.011 0.011 
0.250 0.011 0.011 
0.284 0.011 0.011 
0.301 0.011 0.011 
0.367 0.011 0.011 
0.217 0.011 0.011 
0.567 0.011 0.011 
0.584 0.011 0.011 
0.401 0.011 0.011 
0.400 0.011 0.011 
0.334 0.011 0.011 
0.567 0.011 0.011 
0.350 0.011 0.011 
0.250 0.011 0.011 
0.517 0.011 0.011 
0.350 0.011 0.011 
0.300 0.011 0.011 
0.367 0.011 0.011 
0.233 0.011 0.011 
0.250 0.011 0.011 
0.584 0.011 0.011 
0.584 0.011 0.011 
0.434 0.011 0.011 
0.234 0.011 0.011 
0.300 0.011 0.011 
0.350 0.011 0.011 
0.534 0.011 0.011 
0.201 0.011 0.011 
0.217 0.011 0.011 
0.267 0.011 0.011 
0.466 0.011 0.011 
0.501 0.011 0.011 
0.467 0.011 0.011 
0.383 0.011 0.011 
0.417 0.011 0.011 
0.317 0.011 0.011 
0.500 0.011 0.011 
0.284 0.011 0.011 
0.484 0.011 0.011 
0.283 0.011 0.011 
0.350 0.011 0.011 
0.451 0.011 0.011 
0.516 0.011 0.011 
0.234 0.011 0.011 
0.567 0.011 0.011 
0.517 0.011 0.011 
0.400 1.224 1.224 
0.384 0.011 0.011 
0.384 0.011 0.011 
0.333 1.302 1.302 
0.400 0.710 0.710 
0.400 1.092 1.092 
0.534 0.011 0.011 
0.517 0.011 0.011 
0.467 0.580 0.580 
0.350 0.011 0.011 
0.534 0.011 0.011 
0.417 0.011 0.011 
0.349 0.011 0.011 
0.584 0.011 0.011 
0.551 0.011 0.011 
0.417 0.011 0.011 
0.450 0.011 0.011 
0.433 0.011 0.011 
0.284 0.011 0.011 
0.318 0.011 0.011 
0.384 0.011 0.011 
0.300 0.011 0.011 
0.534 0.011 0.011 
0.284 0.011 0.011 
0.300 0.011 0.011 
0.267 0.011 0.011 
0.300 0.011 0.011 
0.384 0.011 0.011 
0.334 0.011 0.011 
0.567 0.011 0.011 
0.367 0.011 0.011 
0.284 0.011 0.011 
0.567 0.011 0.011 
0.601 0.011 0.011 
0.384 0.011 0.011 
0.250 0.011 0.011 
0.300 0.011 0.011 
0.367 0.011 0.011 
0.434 0.011 0.011 
0.301 0.011 0.011 
0.450 0.011 0.011 
0.485 0.011 0.011 
0.284 0.011 0.011 
0.250 0.011 0.011 
0.317 0.011 0.011 
0.334 0.011 0.011 
0.367 0.011 0.011 
0.400 0.011 0.011 
0.234 0.011 0.011 
0.300 0.011 0.011 
0.516 0.011 0.011 
0.218 0.011 0.011 
0.567 0.011 0.011 
0.501 0.011 0.011 
0.399 0.011 0.011 
0.434 0.011 0.011 
0.300 0.011 0.011 
0.384 0.011 0.011 
0.584 0.011 0.011 
0.417 0.011 0.011 
0.417 0.011 0.011 
0.300 0.011 0.011 
0.400 0.011 0.011 
0.450 0.011 0.011 
0.467 0.011 0.011 
0.367 0.011 0.011 
0.350 0.011 0.011 
0.601 0.011 0.011 
0.217 0.011 0.011 
0.551 0.011 0.011 
0.567 0.011 0.011 
0.517 0.011 0.011 
0.249 0.011 0.011 
0.300 0.011 0.011 
0.334 0.011 0.011 
0.468 0.011 0.011 
0.250 0.011 0.011 
0.484 0.011 0.011 
0.250 0.011 0.011 
0.467 0.011 0.011 
0.400 0.011 0.011 
0.517 0.011 0.011 
0.484 0.011 0.011 
0.568 0.011 0.011 
0.551 0.011 0.011 
0.334 0.011 0.011 
