001,028,027,060,043,041,036,001,053,044,043,006
040,006,014,018,031,018,010,052,028,056,041,014
008,001,037,039,011,037,053,058,058,014,018,055
031,039,005,022,038,009,048,012,041,026,043,011
036,027,052,050,055,048,019,051,019,009,036,018
043,037,029,005,009,023,016,041,025,043,042,041
024,053,015,042,029,055,027,054,022,051,003,013
008,013,021,029,025,013,004,002,058,016,045,034
022,059,058,005,023,029,013,047,029,036,016,044
006,015,055,026,004,021,039,043,057,026,054,051
025,019,039,053,032,054,021,026,035,055,006,014
032,044,012,011,024,049,050,058,037,029,039,060
050,042,050,032,035,017,014,036,007,006,035,023
034,054,027,043,045,050,028,011,019,043,006,018
056,058,009,002,015,026,019,041,052,056,047,029
008,036,032,049,043,053,031,026,037,005,008,038
042,038,021,037,045,026,011,025,051,008,059,006
036,052,014,060,048,024,015,048,013,007,021,053
035,028,006,041,008,003,028,051,004,037,013,026
012,047,045,052,053,037,029,058,038,002,015,030
042,024,032,026,010,040,008,039,027,016,048,057
059,019,013,024,044,038,037,038,001,034,054,028
048,013,032,057,046,013,017,030,030,006,002,019
042,025,059,016,023,010,022,020,053,002,004,015
011,039,020,003,001,014,003,060,047,034,049,041
004,057,060,013,029,015,010,012,021,014,053,013
014,017,050,039,044,037,053,047,048,039,052,012
055,041,038,005,008,007,003,051,009,013,011,059
032,024,008,057,038,017,057,060,005,001,040,051
040,033,027,044,035,001,004,046,038,055,025,009
046,034,001,019,019,003,015,019,013,012,012,056
048,003,005,047,012,023,025,034,020,056,035,040
051,013,051,010,016,010,047,032,026,029,046,033
001,039,042,059,059,005,021,049,040,032,028,012
016,052,060,037,029,007,025,018,037,058,016,050
035,034,038,011,035,033,057,014,004,050,025,053
033,053,019,057,039,013,007,060,034,041,033,021
006,049,014,029,020,053,052,030,011,052,012,050
023,005,011,020,019,038,005,013,006,055,018,003
015,051,057,005,042,010,002,025,041,059,056,044
009,001,023,032,033,038,019,060,025,020,042,016
004,060,052,059,017,001,005,043,016,033,005,004
055,021,060,058,032,059,032,013,031,044,034,019
033,002,007,030,015,011,047,004,040,024,008,035
052,051,017,011,049,034,059,060,030,008,020,040
015,018,038,059,010,058,023,056,054,016,050,035
012,035,060,056,035,041,011,048,026,042,059,023
032,051,015,055,004,025,010,028,041,013,046,001
002,039,003,033,011,003,051,046,040,007,052,019
032,033,053,038,058,027,058,039,052,055,036,037
001,016,008,002,001,041,007,035,015,053,029,052
013,037,034,012,044,040,023,034,049,060,021,012
036,033,044,019,020,006,057,009,025,041,017,025
043,056,045,028,039,040,047,010,040,017,037,002
045,006,010,004,003,054,044,059,006,004,057,021
040,053,008,019,024,034,017,043,012,039,048,029
015,047,018,027,043,035,039,051,004,059,016,030
027,049,048,040,025,057,020,030,019,037,031,009
036,035,003,002,045,003,010,001,015,001,020,021
060,029,030,042,023,006,031,056,041,046,003,053
057,011,057,002,036,005,033,051,030,056,060,048
018,033,048,056,049,050,016,053,029,032,034,027
026,004,014,050,012,017,024,060,051,002,058,044
034,005,012,026,045,047,023,025,007,058,023,019
015,021,028,015,013,019,058,022,053,008,040,013
050,051,020,048,054,026,018,043,050,003,009,056
022,035,055,057,046,037,009,042,010,031,039,023
037,045,034,018,016,056,028,053,035,032,057,016
024,017,036,059,026,017,054,037,026,002,048,050
057,044,006,019,018,021,039,007,036,024,053,026
031,017,003,039,008,033,022,034,013,002,006,057
045,005,048,038,026,056,016,007,012,058,037,035
010,007,055,059,001,053,042,043,049,001,046,028
051,042,019,054,033,039,057,045,040,056,039,057
050,010,029,003,049,029,056,006,016,018,037,049
020,058,011,044,028,021,004,052,020,049,009,040
010,041,049,051,046,027,019,042,054,042,050,027
049,025,032,010,041,031,035,029,003,022,056,059
046,048,047,006,004,014,057,051,028,026,054,018
024,045,012,044,040,018,058,032,036,046,056,013
054,030,051,053,035,030,057,015,010,054,017,060
042,012,008,054,021,059,010,020,020,026,018,039
001,030,038,045,037,020,060,030,004,019,037,041
058,002,041,017,013,030,020,014,025,003,038,028
021,051,051,005,054,049,008,006,015,010,035,044
052,018,058,028,053,056,055,043,053,006,050,054
037,047,015,043,026,014,054,045,034,026,024,051
048,001,050,031,050,028,005,008,004,022,018,041
027,020,008,009,048,042,014,012,014,047,033,045
056,019,018,037,037,034,031,045,002,042,051,011
043,045,045,041,024,004,058,030,024,006,018,024
029,027,054,057,047,052,011,055,011,042,008,021
050,024,019,020,014,048,051,018,024,035,048,028
036,010,059,047,017,051,017,029,022,049,009,055
018,004,032,001,029,024,046,014,002,027,014,053
058,006,030,018,044,036,025,040,050,018,041,023
009,005,004,001,009,018,060,028,055,020,051,027
018,002,026,035,033,023,011,040,008,012,006,054
006,025,002,048,028,024,049,030,026,038,012,059
020,039,034,051,032,012,040,037,027,030,026,016
048,054,016,022,014,043,036,051,007,034,031,025
016,049,021,009,024,037,027,017,032,036,045,021
031,040,016,011,045,055,002,030,060,043,052,002
050,007,019,007,034,031,032,018,018,042,049,043
032,014,020,013,033,011,052,028,035,016,035,027
022,019,008,027,029,046,019,033,002,036,059,020
008,018,037,015,058,018,008,043,018,019,047,017
002,024,032,009,023,004,048,045,026,046,044,029
038,047,010,011,009,020,039,030,028,002,013,023
056,027,034,050,010,037,007,005,038,039,022,045
041,039,038,027,001,059,042,029,033,059,053,031
003,055,002,015,023,003,047,039,045,016,029,013
057,049,048,026,020,028,057,024,055,007,012,054
043,021,015,032,036,048,035,011,059,050,006,039
028,032,001,022,011,050,042,047,045,017,024,005
056,014,038,041,024,056,025,032,043,028,052,040
057,058,059,030,057,001,022,021,013,021,042,006
008,022,027,022,029,018,053,057,038,020,037,027
052,001,048,031,022,039,048,044,008,050,050,026
053,010,032,053,024,003,005,049,028,022,055,013
027,026,035,056,046,022,042,021,041,044,039,032
040,054,033,029,035,020,047,060,055,016,013,036
008,044,035,015,056,018,050,001,035,052,025,015
014,054,030,036,029,038,020,036,024,047,007,020
042,028,001,020,014,025,018,057,005,044,005,042
040,043,057,059,024,055,055,027,034,017,026,044
010,021,008,037,046,038,014,051,047,031,025,027
052,005,059,043,060,021,050,021,007,053,003,043
021,019,025,048,044,043,014,002,056,041,060,025
055,042,036,053,019,045,033,044,037,033,023,050
054,011,004,013,012,040,045,042,028,016,026,025
003,007,040,030,054,002,060,005,035,019,017,056
041,012,037,056,058,023,044,001,014,007,022,023
001,021,048,041,056,004,002,050,038,006,057,017
050,046,005,056,031,003,036,039,057,022,030,045
030,009,041,051,008,020,009,012,046,007,007,025
020,012,057,052,003,042,001,043,054,023,051,016
054,017,024,039,052,023,030,034,012,007,004,031
008,041,009,035,009,014,045,046,004,054,049,059
009,060,052,034,039,015,031,023,030,025,015,031
008,029,044,028,020,004,008,028,024,016,036,047
046,010,015,059,006,003,005,039,022,037,021,056
003,041,036,003,054,053,022,038,038,031,024,027
030,012,032,005,051,012,060,015,047,046,046,060
026,024,046,020,015,027,018,017,024,020,004,008
054,059,038,025,024,022,003,047,003,017,016,021
010,038,040,001,010,049,021,044,032,038,046,019
023,060,007,017,016,023,027,014,057,043,047,054
040,026,044,023,015,017,046,056,045,035,034,033
