010,031
037,054
043,029
025,004
040,041
003,014
020,051
006,026
027,041
016,001
055,043
034,004
050,012
020,047
008,039
046,022
002,049
058,009
003,012
023,046
029,008
035,054
014,057
024,056
009,016
019,046
051,052
043,010
012,036
021,023
007,036
051,055
001,025
011,056
054,015
057,048
036,021
040,015
044,045
034,019
045,052
026,018
042,006
055,028
038,035
060,022
021,023
014,025
001,003
048,033
058,032
047,040
028,008
060,003
004,047
027,020
038,006
033,018
030,055
025,001
033,034
010,048
022,005
015,058
011,014
044,021
024,007
054,017
013,049
056,030
039,042
046,013
053,026
032,017
030,032
050,043
009,053
056,035
053,002
031,053
008,060
005,016
059,013
052,038
012,042
037,051
004,024
023,037
029,020
002,028
036,037
059,009
018,011
028,002
041,019
049,007
013,059
048,044
039,030
016,044
042,050
041,029
017,005
015,024
057,058
045,039
005,050
026,027
007,040
049,045
018,059
047,031
006,060
022,011
017,033
052,034
035,010
032,027
019,057
031,038
