015,015
006,025
045,012
003,046
011,029
050,037
055,025
008,053
023,009
014,002
016,052
009,004
060,026
014,055
049,058
035,032
052,023
021,034
039,052
020,016
006,028
047,060
032,003
044,059
002,010
050,020
060,044
027,051
043,022
008,036
003,006
040,027
039,056
030,027
037,003
054,010
012,042
017,012
013,040
028,026
034,034
047,005
001,011
025,038
035,042
015,023
049,057
010,044
051,039
034,017
026,018
038,024
005,047
042,040
026,013
041,021
019,020
045,059
033,014
053,043
029,035
007,033
032,060
057,019
021,057
042,049
027,015
037,054
058,036
010,017
024,041
059,053
036,032
020,050
016,005
022,054
040,048
055,022
051,011
005,049
009,014
041,016
031,045
017,048
046,008
043,038
018,028
059,006
012,001
056,047
046,029
053,046
011,058
048,039
002,002
007,031
052,043
024,051
004,021
038,008
033,056
018,007
029,035
004,001
048,045
013,007
036,037
044,041
019,019
054,024
058,018
031,050
025,030
001,031
023,013
030,004
057,009
056,055
028,030
022,033
