<><><><><><><><> 
Begin: 26-Feb-2014 11:01:12 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s00 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.405 1.405 
0.348 0.346 0.346 
0.483 0.724 0.724 
0.250 0.692 0.692 
0.617 0.524 0.524 
0.467 1.294 1.294 
0.351 0.578 0.578 
0.367 0.939 0.939 
0.934 0.060 0.060 
0.751 0.442 0.442 
0.583 0.516 0.516 
0.935 0.336 0.336 
0.284 0.335 0.335 
0.801 0.012 0.012 
0.784 0.012 0.012 
0.651 0.012 0.012 
0.350 0.012 0.012 
0.684 0.012 0.012 
0.450 0.012 0.012 
0.317 0.012 0.012 
0.367 0.012 0.012 
0.919 0.012 0.012 
0.266 0.012 0.012 
0.400 0.265 0.265 
0.250 0.012 0.012 
0.551 0.181 0.181 
0.217 0.012 0.012 
0.919 0.012 0.012 
0.367 0.012 0.012 
0.284 0.023 0.023 
0.451 0.506 0.506 
0.566 0.322 0.322 
0.283 0.169 0.169 
1.001 0.108 0.108 
0.467 0.345 0.345 
0.434 0.755 0.755 
0.250 0.287 0.287 
0.434 0.072 0.072 
0.234 0.708 0.708 
0.600 0.675 0.675 
0.818 0.660 0.660 
0.701 0.242 0.242 
0.267 0.419 0.419 
0.267 0.517 0.517 
0.817 0.011 0.011 
0.934 0.529 0.529 
0.635 0.935 0.935 
0.283 0.012 0.012 
0.868 0.012 0.012 
0.466 0.097 0.097 
0.434 0.506 0.506 
0.801 2.124 2.124 
0.216 0.731 0.731 
0.250 0.322 0.322 
0.735 0.710 0.710 
0.685 0.012 0.012 
0.616 0.539 0.539 
0.785 0.012 0.012 
0.767 0.072 0.072 
0.834 0.011 0.011 
0.434 0.012 0.012 
0.750 0.012 0.012 
0.651 0.277 0.277 
0.518 0.121 0.121 
0.251 0.060 0.060 
0.834 0.301 0.301 
0.468 0.178 0.178 
0.685 0.023 0.023 
0.801 0.012 0.012 
0.284 0.036 0.036 
0.300 0.097 0.097 
0.650 0.012 0.012 
0.600 0.012 0.012 
0.917 0.070 0.070 
0.835 0.248 0.248 
0.784 0.060 0.060 
0.250 0.072 0.072 
0.266 0.047 0.047 
0.267 0.012 0.012 
0.850 0.048 0.048 
0.951 0.060 0.060 
0.751 0.262 0.262 
0.316 0.228 0.228 
0.784 0.012 0.012 
0.300 0.071 0.071 
0.300 0.012 0.012 
0.717 0.012 0.012 
0.468 0.083 0.083 
0.734 0.084 0.084 
0.802 0.289 0.289 
0.668 0.264 0.264 
0.800 0.167 0.167 
0.384 0.012 0.012 
0.784 0.011 0.011 
0.985 0.036 0.036 
0.901 0.082 0.082 
0.268 0.131 0.131 
0.500 0.416 0.416 
0.501 0.118 0.118 
0.751 0.023 0.023 
0.684 0.012 0.012 
0.835 0.047 0.047 
0.501 0.012 0.012 
0.367 0.012 0.012 
0.267 0.120 0.120 
0.818 0.190 0.190 
0.367 0.012 0.012 
0.518 0.012 0.012 
0.651 0.012 0.012 
0.384 0.072 0.072 
0.717 0.012 0.012 
