047,015
029,053
054,118
079,045
080,076
039,016
076,080
017,097
049,067
086,012
084,034
097,010
053,096
107,114
012,076
085,039
051,018
069,069
089,037
028,111
034,079
053,080
107,099
002,068
064,036
020,107
058,072
102,084
005,091
025,015
103,027
071,097
112,090
008,088
083,065
070,071
031,088
086,120
117,068
044,081
006,085
033,031
073,013
057,048
027,094
110,057
115,108
007,063
049,108
037,091
088,069
019,058
094,011
018,037
118,066
048,014
062,073
017,112
056,115
116,016
035,077
050,110
094,102
052,070
001,051
080,033
091,116
023,023
101,059
067,055
079,078
065,062
096,046
051,089
055,036
100,106
098,083
031,038
008,077
003,103
055,067
092,053
111,047
065,096
015,029
026,033
108,021
114,003
014,100
057,044
099,029
011,046
035,095
040,025
096,095
041,070
050,078
074,119
025,054
070,024
044,004
046,112
029,026
105,032
061,116
024,018
105,022
034,060
069,050
089,014
106,020
087,041
004,117
090,028
082,065
066,049
093,061
045,040
062,056
040,042
066,072
100,120
060,100
093,006
013,064
059,030
058,047
084,119
092,075
114,103
106,110
048,056
083,024
108,094
060,107
075,007
110,075
071,114
052,082
103,039
030,105
063,066
042,113
022,035
095,060
027,115
038,079
039,113
014,049
016,063
024,045
009,073
068,023
091,098
059,027
095,058
116,087
045,007
032,050
073,034
113,002
056,044
019,040
111,009
007,109
054,074
072,001
078,025
115,117
081,001
038,011
015,062
047,093
098,089
077,106
120,002
113,054
006,009
042,005
099,087
067,092
013,004
033,017
001,003
081,102
016,010
109,086
030,071
077,099
120,030
026,028
046,035
020,101
043,043
010,013
104,042
119,008
010,104
022,008
112,020
119,022
097,041
075,090
118,105
003,057
085,082
021,038
061,021
082,104
064,051
004,005
023,118
012,085
011,055
088,019
109,006
117,083
009,017
090,101
021,081
104,019
018,074
068,098
101,061
037,031
078,052
063,064
032,059
036,032
072,093
002,043
076,026
041,086
102,084
043,052
028,109
074,048
036,012
087,092
005,111
